time_ms,has_target,X_cam,Y_cam,Z_cam
1784614272240,1,0.659000,-0.277388,0.079624
1784614272274,1,0.661000,-0.277682,0.081512
1784614272308,1,0.662000,-0.274814,0.078339
1784614272341,1,0.670000,-0.268151,0.075949
1784614272376,1,0.675000,-0.263447,0.072034
1784614272409,1,0.683000,-0.243953,0.066086
1784614272442,1,0.697000,-0.212602,0.054136
1784614272476,1,0.708000,-0.173171,0.040301
1784614272509,1,0.714000,-0.135627,0.028791
1784614272544,1,0.720000,-0.095639,0.018875
1784614272578,1,0.726000,-0.060976,0.012404
1784614272612,1,0.728000,-0.029203,0.004584
1784614272646,1,0.731000,-0.005117,0.003390
1784614272679,1,0.733000,0.014894,0.002791
1784614272713,1,0.734000,0.030713,0.001576
1784614272747,1,0.734000,0.045296,0.000358
1784614272780,1,0.733000,0.055550,0.000966
1784614272814,1,0.735000,0.059352,0.002188
1784614272848,1,0.734000,0.053803,0.002794
1784614272881,1,0.738000,0.041877,0.002810
1784614272915,1,0.735000,0.024670,0.002798
1784614272947,1,0.734000,0.000938,0.003404
1784614272981,1,0.731000,-0.024482,0.004603
1784614273015,1,0.730000,-0.049226,0.005203
1784614273049,1,0.725000,-0.070495,0.005167
1784614273082,1,0.724000,-0.087180,0.007563
1784614273115,1,0.720000,-0.096235,0.008717
1784614273150,1,0.718000,-0.097157,0.009884
1784614273183,1,0.714000,-0.087158,0.008644
1784614273216,1,0.713000,-0.073460,0.008040
1784614273249,1,0.713000,-0.052211,0.008040
1784614273283,1,0.710000,-0.024366,0.007417
1784614273317,1,0.710000,0.001495,0.006239
1784614273350,1,0.708000,0.026694,0.006809
1784614273384,1,0.709000,0.046101,0.007407
1784614273419,1,0.704000,0.056849,0.005602
1784614273452,1,0.703000,0.057932,0.004427
1784614273487,1,0.702000,0.053201,0.003255
1784614273519,1,0.705000,0.038254,0.002099
1784614273553,1,0.705000,0.018994,0.001514
1784614273586,1,0.707000,-0.001437,0.002105
1784614273619,1,0.703000,-0.026454,0.002676
1784614273654,1,0.703000,-0.046823,0.004427
1784614273688,1,0.704000,-0.064374,0.007939
1784614273722,1,0.700000,-0.076757,0.009055
1784614273755,1,0.697000,-0.084506,0.010173
1784614273789,1,0.692000,-0.083900,0.010100
1784614273822,1,0.691000,-0.075198,0.010659
1784614273855,1,0.686000,-0.061024,0.009444
1784614273888,1,0.683000,-0.041533,0.010536
1784614273922,1,0.680000,-0.021648,0.011054
1784614273956,1,0.676000,-0.004732,0.009867
1784614273990,1,0.672000,0.011985,0.010924
1784614274023,1,0.668000,0.019656,0.010859
1784614274058,1,0.661000,0.024375,0.011294
1784614274091,1,0.657000,0.020420,0.009590
1784614274124,1,0.652000,0.011629,0.009517
1784614274158,1,0.648000,-0.003463,0.009458
1784614274191,1,0.643000,-0.015679,0.008852
1784614274225,1,0.640000,-0.026203,0.008810
1784614274258,1,0.637000,-0.037681,0.008769
1784614274291,1,0.635000,-0.043345,0.009269
1784614274326,1,0.633000,-0.044781,0.008714
1784614274359,1,0.632000,-0.043664,0.008700
1784614274393,1,0.630000,-0.039353,0.006581
1784614274427,1,0.630000,-0.033095,0.006581
1784614274460,1,0.630000,-0.026836,0.004490
1784614274494,1,0.628000,-0.022072,0.002912
1784614274528,1,0.629000,-0.017942,0.001873
1784614274561,1,0.631000,-0.013820,0.002926
1784614274595,1,0.631000,-0.013297,0.002402
1784614274629,1,0.634000,-0.012836,0.003992
1784614274663,1,0.638000,-0.013445,0.006665
1784614274696,1,0.638000,-0.018726,0.006665
1784614274729,1,0.641000,-0.023590,0.007228
1784614274763,1,0.642000,-0.027879,0.007239
1784614274796,1,0.644000,-0.032231,0.008331
1784614274831,1,0.645000,-0.037087,0.007809
1784614274863,1,0.648000,-0.041014,0.008383
1784614274896,1,0.651000,-0.045515,0.008421
