time_ms,yaw_deg
1784533425123,-13.273055
1784533425129,-13.275083
1784533425133,-13.276566
1784533425138,-13.280253
1784533425143,-13.282406
1784533425148,-13.281538
1784533425153,-13.282673
1784533425158,-13.282990
1784533425163,-13.283267
1784533425168,-13.285184
1784533425173,-13.286072
1784533425178,-13.287612
1784533425183,-13.290009
1784533425188,-13.291252
1784533425193,-13.292769
1784533425198,-13.295104
1784533425203,-13.297800
1784533425208,-13.300623
1784533425213,-13.300695
1784533425218,-13.303210
1784533425223,-13.305518
1784533425228,-13.306864
1784533425233,-13.307709
1784533425238,-13.308934
1784533425243,-13.310049
1784533425248,-13.310947
1784533425253,-13.312825
1784533425258,-13.314077
1784533425263,-13.317163
1784533425268,-13.318575
1784533425273,-13.320828
1784533425278,-13.323291
1784533425283,-13.325982
1784533425288,-13.326248
1784533425293,-13.328416
1784533425298,-13.331505
1784533425303,-13.333405
1784533425308,-13.336062
1784533425313,-13.337201
1784533425318,-13.339427
1784533425323,-13.341450
1784533425328,-13.343564
1784533425333,-13.344873
1784533425338,-13.347215
1784533425343,-13.349290
1784533425348,-13.352617
1784533425353,-13.355268
1784533425358,-13.356678
1784533425363,-13.358479
1784533425368,-13.360987
1784533425373,-13.362380
1784533425378,-13.364771
1784533425383,-13.366328
1784533425388,-13.368798
1784533425393,-13.370876
1784533425398,-13.372352
1784533425403,-13.373565
1784533425408,-13.376104
1784533425413,-13.377451
1784533425418,-13.380792
1784533425423,-13.382388
1784533425428,-13.383644
1784533425433,-13.385701
1784533425438,-13.387849
1784533425443,-13.389877
1784533425448,-13.392563
1784533425453,-13.395345
1784533425458,-13.396333
1784533425463,-13.397739
1784533425468,-13.399768
1784533425473,-13.401907
1784533425478,-13.402743
1784533425483,-13.405319
1784533425488,-13.406626
1784533425493,-13.408753
1784533425498,-13.410752
1784533425503,-13.410744
1784533425508,-13.411555
1784533425513,-13.414845
1784533425518,-13.416099
1784533425523,-13.417315
1784533425528,-13.419520
1784533425533,-13.421682
1784533425538,-13.423948
1784533425543,-13.426346
1784533425548,-13.428150
1784533425553,-13.428864
1784533425558,-13.430925
1784533425563,-13.432604
1784533425568,-13.434570
1784533425573,-13.435562
1784533425578,-13.436763
1784533425583,-13.438638
1784533425588,-13.440072
1784533425593,-13.441487
1784533425598,-13.443372
1784533425603,-13.446121
1784533425608,-13.448932
1784533425613,-13.448967
1784533425618,-13.450602
1784533425623,-13.452898
1784533425628,-13.452917
1784533425633,-13.454161
1784533425638,-13.455708
1784533425643,-13.457122
1784533425648,-13.459482
1784533425653,-13.461124
1784533425658,-13.462363
1784533425663,-13.464653
1784533425668,-13.465363
1784533425673,-13.466146
1784533425678,-13.466595
1784533425683,-13.468331
1784533425688,-13.471766
1784533425693,-13.473387
1784533425698,-13.474603
1784533425703,-13.476611
1784533425709,-13.478600
1784533425714,-13.479246
1784533425718,-13.481032
1784533425723,-13.482374
1784533425729,-13.484045
1784533425734,-13.484376
1784533425738,-13.486697
1784533425743,-13.488158
1784533425748,-13.490006
1784533425753,-13.490620
1784533425758,-13.492154
1784533425763,-13.493231
1784533425768,-13.494873
1784533425773,-13.497783
1784533425778,-13.498866
1784533425783,-13.500832
1784533425788,-13.502389
1784533425793,-13.503710
1784533425798,-13.505949
1784533425803,-13.507206
1784533425808,-13.509482
1784533425813,-13.512573
1784533425818,-13.514089
1784533425823,-13.514207
1784533425828,-13.515837
1784533425833,-13.515698
1784533425838,-13.515814
1784533425843,-13.517703
1784533425848,-13.519782
1784533425853,-13.522648
1784533425858,-13.523807
1784533425863,-13.525770
1784533425868,-13.527663
1784533425873,-13.528397
1784533425878,-13.531757
1784533425883,-13.534222
1784533425888,-13.534822
1784533425893,-13.535219
1784533425898,-13.538238
1784533425903,-13.539910
1784533425908,-13.541738
1784533425913,-13.542724
1784533425918,-13.543691
1784533425923,-13.545340
1784533425928,-13.548014
1784533425933,-13.550623
1784533425938,-13.551815
1784533425943,-13.553674
1784533425948,-13.554710
1784533425953,-13.556003
1784533425958,-13.558552
1784533425963,-13.560989
1784533425968,-13.561934
1784533425973,-13.563258
1784533425978,-13.565388
1784533425983,-13.567220
1784533425988,-13.568645
1784533425993,-13.572577
1784533425998,-13.572532
1784533426003,-13.574291
1784533426008,-13.576758
1784533426013,-13.578502
1784533426018,-13.579186
1784533426023,-13.580495
1784533426028,-13.581244
1784533426033,-13.582472
1784533426038,-13.583752
1784533426043,-13.586020
1784533426048,-13.586920
1784533426053,-13.589485
1784533426058,-13.589728
1784533426063,-13.591563
1784533426068,-13.594003
1784533426073,-13.595552
1784533426078,-13.597581
1784533426083,-13.599084
1784533426088,-13.600543
1784533426093,-13.601999
1784533426098,-13.603233
1784533426103,-13.605429
1784533426108,-13.607775
1784533426113,-13.609012
1784533426118,-13.610935
1784533426123,-13.612337
1784533426128,-13.614597
1784533426133,-13.615849
1784533426138,-13.617341
1784533426143,-13.619614
1784533426148,-13.620756
1784533426153,-13.622347
1784533426158,-13.624072
1784533426163,-13.624832
1784533426168,-13.626933
1784533426173,-13.628797
1784533426178,-13.628545
1784533426183,-13.630661
1784533426188,-13.631752
1784533426193,-13.632926
1784533426198,-13.635090
1784533426203,-13.636270
1784533426208,-13.638824
1784533426213,-13.641270
1784533426218,-13.643435
1784533426223,-13.644571
1784533426228,-13.646612
1784533426233,-13.648631
1784533426238,-13.649055
1784533426243,-13.651741
1784533426248,-13.652946
1784533426253,-13.655102
1784533426258,-13.656323
1784533426263,-13.657587
1784533426268,-13.659334
1784533426273,-13.660423
1784533426278,-13.663710
1784533426283,-13.665175
1784533426288,-13.665579
1784533426293,-13.667494
1784533426298,-13.669555
1784533426303,-13.670809
1784533426308,-13.672934
1784533426313,-13.674606
1784533426318,-13.677551
1784533426323,-13.678519
1784533426328,-13.681093
1784533426333,-13.684682
1784533426338,-13.684731
1784533426343,-13.685153
1784533426348,-13.688663
1784533426353,-13.689508
1784533426358,-13.691327
1784533426363,-13.692595
1784533426368,-13.693595
1784533426373,-13.694445
1784533426378,-13.697440
1784533426383,-13.697865
1784533426388,-13.700632
1784533426393,-13.703042
1784533426398,-13.704677
1784533426403,-13.707118
1784533426408,-13.708682
1784533426413,-13.710450
1784533426418,-13.711938
1784533426423,-13.714232
1784533426428,-13.716262
1784533426433,-13.718378
1784533426438,-13.719327
1784533426443,-13.720691
1784533426448,-13.722642
1784533426453,-13.724707
1784533426458,-13.725023
1784533426463,-13.726621
1784533426468,-13.729591
1784533426473,-13.730671
1784533426478,-13.733666
1784533426483,-13.734455
1784533426488,-13.736756
1784533426493,-13.739328
1784533426498,-13.741259
1784533426503,-13.741942
1784533426508,-13.744568
1784533426513,-13.745816
1784533426518,-13.748730
1784533426523,-13.750536
1784533426528,-13.751868
1784533426533,-13.754855
1784533426538,-13.756579
1784533426543,-13.758421
1784533426548,-13.760377
1784533426553,-13.762981
1784533426558,-13.764903
1784533426563,-13.765882
1784533426568,-13.768908
1784533426573,-13.768643
1784533426579,-13.770180
1784533426583,-13.771687
1784533426588,-13.773179
1784533426593,-13.775228
1784533426598,-13.776331
1784533426603,-13.777849
1784533426608,-13.779316
1784533426613,-13.780067
1784533426618,-13.781851
1784533426623,-13.783896
1784533426628,-13.785594
1784533426633,-13.787400
1784533426638,-13.789662
1784533426643,-13.791153
1784533426648,-13.793116
1784533426653,-13.795813
1784533426658,-13.797130
1784533426663,-13.799083
1784533426668,-13.800463
1784533426673,-13.802430
1784533426678,-13.804090
1784533426683,-13.806713
1784533426688,-13.808604
1784533426693,-13.810693
1784533426698,-13.813869
1784533426703,-13.816676
1784533426708,-13.822818
1784533426713,-13.826015
1784533426718,-13.827889
1784533426723,-13.835786
1784533426728,-13.835629
1784533426733,-13.826417
1784533426738,-13.828703
1784533426743,-13.833920
1784533426748,-13.836247
1784533426753,-13.834117
1784533426758,-13.838854
1784533426763,-13.845876
1784533426768,-13.843278
1784533426773,-13.841145
1784533426778,-13.842173
1784533426783,-13.845940
1784533426788,-13.848029
1784533426793,-13.849898
1784533426798,-13.855591
1784533426803,-13.856615
1784533426808,-13.858628
1784533426813,-13.859756
1784533426818,-13.859627
1784533426823,-13.857547
1784533426828,-13.860603
1784533426833,-13.865524
1784533426838,-13.867550
1784533426843,-13.871017
1784533426848,-13.877442
1784533426853,-13.881462
1784533426858,-13.880330
1784533426863,-13.879219
1784533426868,-13.880490
1784533426873,-13.881006
1784533426878,-13.879469
1784533426883,-13.880548
1784533426888,-13.882711
1784533426893,-13.885900
1784533426898,-13.888869
1784533426903,-13.888722
1784533426908,-13.891097
1784533426913,-13.893517
1784533426918,-13.894824
1784533426923,-13.896201
1784533426928,-13.899047
1784533426933,-13.902491
1784533426938,-13.904282
1784533426943,-13.904773
1784533426948,-13.904795
1784533426953,-13.906288
1784533426958,-13.907989
1784533426963,-13.910457
1784533426968,-13.913459
1784533426973,-13.915118
1784533426978,-13.918374
1784533426983,-13.920042
1784533426988,-13.920639
